id_commande;id_suivi;id_adresse;etat;date_commande;montant_total_ttc;id_client
1;;1;En attente;01/02/2026;82.74;21
2;;1;En attente;18/07/2025;113.93;21
3;;1;En attente;09/10/2024;57.57;21
4;;5;En attente;15/01/2025;121.17;25
5;;6;En attente;03/03/2023;80.35;26
6;;19;En attente;27/05/2023;139.08;39
7;;16;En attente;12/07/2023;19.16;36
8;;12;En attente;30/09/2023;43.14;32
9;;8;En attente;18/11/2023;50.38;28
10;;2;En attente;05/02/2024;47.98;22
11;;4;En attente;22/04/2024;47.87;24
12;;17;En attente;09/06/2024;11.98;37
13;;14;En attente;14/08/2024;23.20;34
14;;2;En attente;01/10/2024;83.59;22
15;;5;En attente;19/12/2024;93.57;25
16;;15;En attente;07/01/2025;47.95;35
17;;15;En attente;25/03/2025;31.19;35
18;;20;En attente;11/05/2025;62.38;40
19;;13;En attente;29/07/2025;59.51;33
20;;13;En attente;16/11/2025;53.91;33
